frame,time_s,face_lm33,face_lm133,face_lm362,face_lm263,face_lm61,face_lm291,face_lm105,face_lm334,left_hand_lm00,left_hand_lm01,left_hand_lm02,left_hand_lm03,left_hand_lm04,left_hand_lm05,left_hand_lm06,left_hand_lm07,left_hand_lm08,left_hand_lm09,left_hand_lm10,left_hand_lm11,left_hand_lm12,left_hand_lm13,left_hand_lm14,left_hand_lm15,left_hand_lm16,left_hand_lm17,left_hand_lm18,left_hand_lm19,left_hand_lm20,right_hand_lm00,right_hand_lm01,right_hand_lm02,right_hand_lm03,right_hand_lm04,right_hand_lm05,right_hand_lm06,right_hand_lm07,right_hand_lm08,right_hand_lm09,right_hand_lm10,right_hand_lm11,right_hand_lm12,right_hand_lm13,right_hand_lm14,right_hand_lm15,right_hand_lm16,right_hand_lm17,right_hand_lm18,right_hand_lm19,right_hand_lm20
0,0.0,[0.471951 0.212179 0.011183],[0.489035 0.213054 0.004981],[0.511944 0.212248 -6.2e-05],[0.531229 0.209632 4.8e-05],[0.485664 0.272845 0.006453],[0.520933 0.27122 -0.000376],[0.473087 0.193133 0.00021],[0.524973 0.190074 -0.009167],[0.607823 0.701143 0.0],[0.621769 0.700982 -0.013967],[0.632606 0.708105 -0.022766],[0.631867 0.718785 -0.030002],[0.630957 0.731006 -0.036635],[0.626191 0.749997 -0.017253],[0.622912 0.761697 -0.026996],[0.614894 0.757057 -0.034188],[0.606324 0.749193 -0.038494],[0.612101 0.755001 -0.014948],[0.60678 0.76888 -0.025101],[0.59871 0.761005 -0.031751],[0.593032 0.747771 -0.035187],[0.600405 0.754502 -0.013693],[0.592557 0.763082 -0.02378],[0.586722 0.75007 -0.0282],[0.584427 0.73417 -0.029471],[0.590618 0.74883 -0.013499],[0.583616 0.756278 -0.022931],[0.580442 0.745781 -0.026342],[0.579898 0.731865 -0.027054],[0.425862 0.738971 -0.0],[0.449713 0.734671 -0.008173],[0.467419 0.748047 -0.011652],[0.480165 0.768403 -0.013432],[0.492515 0.783454 -0.01434],[0.456297 0.780862 -0.011748],[0.477196 0.804479 -0.016627],[0.491352 0.814932 -0.019263],[0.502992 0.821474 -0.020609],[0.448614 0.793802 -0.010023],[0.470401 0.821092 -0.014949],[0.487041 0.828341 -0.016816],[0.499444 0.828867 -0.017607],[0.445395 0.799453 -0.008691],[0.466104 0.824791 -0.013631],[0.482256 0.831378 -0.015236],[0.494104 0.831064 -0.015424],[0.446271 0.800079 -0.00786],[0.463647 0.820988 -0.012018],[0.477188 0.827635 -0.013135],[0.48807 0.827977 -0.013097]
1,0.03333,[0.473549 0.213104 0.01142],[0.490276 0.213107 0.005609],[0.512715 0.212583 0.001017],[0.531284 0.211729 0.001277],[0.485762 0.273181 0.005505],[0.52144 0.272074 -0.000724],[0.475607 0.193479 0.001233],[0.525963 0.192226 -0.007332],[0.611972 0.701019 0.0],[0.62262 0.701014 -0.014121],[0.630889 0.707419 -0.023475],[0.629995 0.717232 -0.031153],[0.630308 0.727324 -0.038105],[0.62775 0.748606 -0.017219],[0.621243 0.760732 -0.028233],[0.613044 0.755342 -0.036079],[0.605441 0.746289 -0.040207],[0.613937 0.752224 -0.014993],[0.605895 0.765273 -0.026196],[0.59829 0.758287 -0.033145],[0.592683 0.745915 -0.036364],[0.602207 0.750112 -0.013972],[0.59281 0.76108 -0.025079],[0.587172 0.750105 -0.029242],[0.584087 0.735756 -0.029892],[0.592243 0.743385 -0.013915],[0.582917 0.752297 -0.023783],[0.579355 0.743935 -0.026755],[0.578057 0.731617 -0.026813],[0.426866 0.740968 -0.0],[0.450715 0.736293 -0.00857],[0.468705 0.749779 -0.011904],[0.481491 0.770259 -0.013391],[0.493109 0.784987 -0.013969],[0.456901 0.779664 -0.011671],[0.47704 0.805127 -0.016599],[0.491542 0.815422 -0.019046],[0.502927 0.821434 -0.020064],[0.449103 0.793372 -0.009435],[0.470302 0.821104 -0.014307],[0.487851 0.828576 -0.015977],[0.501252 0.829139 -0.016429],[0.445959 0.800093 -0.007662],[0.466832 0.824865 -0.012515],[0.48322 0.830838 -0.014165],[0.495938 0.830332 -0.014266],[0.447184 0.801448 -0.00642],[0.46481 0.821094 -0.010525],[0.478244 0.827269 -0.011761],[0.489278 0.827964 -0.011721]
2,0.06667,[0.475382 0.215054 0.011032],[0.491769 0.214168 0.005392],[0.514533 0.213206 0.001062],[0.532893 0.212684 0.00145],[0.487101 0.273318 0.005377],[0.523199 0.272165 -0.000603],[0.476872 0.194019 0.001137],[0.527877 0.191749 -0.006966],[0.611819 0.702741 0.0],[0.62296 0.703866 -0.01348],[0.630815 0.711224 -0.022667],[0.628785 0.719529 -0.030275],[0.627759 0.727027 -0.037399],[0.627032 0.749811 -0.017263],[0.620568 0.75944 -0.028616],[0.612428 0.753931 -0.036873],[0.60495 0.74528 -0.041257],[0.613389 0.752741 -0.015525],[0.603711 0.763473 -0.027304],[0.596059 0.755119 -0.034477],[0.591058 0.741965 -0.037623],[0.602063 0.750238 -0.01488],[0.591083 0.759763 -0.026473],[0.584871 0.747149 -0.03056],[0.582223 0.731962 -0.030869],[0.592701 0.743281 -0.015142],[0.582898 0.751239 -0.025089],[0.579065 0.742422 -0.027693],[0.578049 0.730242 -0.027366],[0.427446 0.742222 -0.0],[0.451683 0.736712 -0.008186],[0.469497 0.75065 -0.011095],[0.481839 0.77143 -0.012333],[0.493155 0.786411 -0.01262],[0.459386 0.782724 -0.009234],[0.479347 0.807916 -0.013812],[0.493391 0.817738 -0.01635],[0.504139 0.822866 -0.017346],[0.451226 0.795167 -0.007096],[0.472044 0.82169 -0.011485],[0.488924 0.828443 -0.01333],[0.501506 0.828476 -0.013839],[0.447442 0.800974 -0.005599],[0.467711 0.824946 -0.010109],[0.483686 0.830571 -0.011949],[0.495768 0.829858 -0.012154],[0.447831 0.801998 -0.004654],[0.464735 0.821113 -0.008472],[0.477805 0.827121 -0.00978],[0.488487 0.827641 -0.009775]
3,0.1,[0.476666 0.214389 0.010035],[0.493291 0.214237 0.004747],[0.516406 0.213897 0.001052],[0.534755 0.213702 0.001872],[0.488492 0.272935 0.005071],[0.523809 0.272573 -5.7e-05],[0.478498 0.193271 -4e-06],[0.530325 0.192832 -0.006901],[0.611627 0.701134 0.0],[0.622459 0.701822 -0.013903],[0.630417 0.708606 -0.023488],[0.62879 0.716633 -0.031466],[0.627795 0.724026 -0.038836],[0.626243 0.748658 -0.01732],[0.619825 0.759211 -0.028969],[0.611986 0.752948 -0.037505],[0.605267 0.743419 -0.042007],[0.612873 0.750819 -0.015545],[0.603822 0.762393 -0.027355],[0.596451 0.75377 -0.034577],[0.591864 0.740622 -0.037783],[0.601631 0.747251 -0.014976],[0.59152 0.757776 -0.026583],[0.5856 0.745539 -0.030707],[0.583071 0.730581 -0.031119],[0.592315 0.739263 -0.015361],[0.582547 0.747345 -0.02557],[0.578773 0.738452 -0.028387],[0.577785 0.726205 -0.028204],[0.428751 0.743735 -0.0],[0.452046 0.737249 -0.00821],[0.469624 0.751479 -0.011182],[0.482272 0.772497 -0.012279],[0.49371 0.787564 -0.012375],[0.45967 0.783671 -0.010581],[0.480108 0.809716 -0.014835],[0.49408 0.818831 -0.016733],[0.504216 0.8234 -0.017186],[0.451633 0.796324 -0.008047],[0.473265 0.823921 -0.012333],[0.490174 0.829712 -0.013523],[0.502201 0.828577 -0.01341],[0.448066 0.802133 -0.006],[0.468984 0.826798 -0.010083],[0.484764 0.831785 -0.011421],[0.496357 0.830342 -0.011275],[0.448911 0.803092 -0.004471],[0.466326 0.822142 -0.007869],[0.479344 0.827967 -0.009013],[0.489889 0.828348 -0.008896]
4,0.13333,[0.477829 0.214646 0.009413],[0.494602 0.214574 0.004395],[0.517496 0.214236 0.001157],[0.535785 0.213913 0.002288],[0.489432 0.27351 0.004721],[0.524265 0.273654 0.000358],[0.47947 0.194032 -0.000714],[0.53148 0.19325 -0.006712],[0.610587 0.700528 0.0],[0.621558 0.699553 -0.015321],[0.629997 0.704666 -0.025568],[0.62831 0.712588 -0.033994],[0.627041 0.722203 -0.04182],[0.627142 0.74482 -0.019969],[0.620136 0.758245 -0.032503],[0.611346 0.752605 -0.041218],[0.603599 0.741762 -0.045582],[0.613322 0.747175 -0.017604],[0.602377 0.76014 -0.030906],[0.594338 0.750557 -0.038643],[0.589856 0.735031 -0.041781],[0.601854 0.744079 -0.016472],[0.590183 0.75204 -0.029597],[0.58376 0.73841 -0.034197],[0.581548 0.721849 -0.034386],[0.592635 0.73707 -0.016285],[0.582331 0.744889 -0.027237],[0.578322 0.735585 -0.029999],[0.577649 0.722206 -0.029511],[0.428956 0.744839 -0.0],[0.452454 0.739347 -0.007944],[0.469998 0.753362 -0.010887],[0.482499 0.773986 -0.012078],[0.493854 0.788843 -0.012284],[0.459677 0.784606 -0.010133],[0.480413 0.810871 -0.014208],[0.494577 0.819947 -0.015984],[0.504725 0.824454 -0.016406],[0.451697 0.796805 -0.007844],[0.473367 0.824868 -0.011924],[0.490244 0.8306 -0.013056],[0.502094 0.82912 -0.012981],[0.448214 0.802344 -0.006041],[0.469192 0.827534 -0.009953],[0.485017 0.832694 -0.011219],[0.496519 0.831376 -0.011126],[0.449152 0.803234 -0.004744],[0.466793 0.82246 -0.008075],[0.479881 0.828317 -0.009124],[0.49027 0.828799 -0.009001]
5,0.16667,[0.478706 0.214928 0.008685],[0.495748 0.215049 0.004268],[0.518974 0.215063 0.002017],[0.537163 0.215011 0.003773],[0.490404 0.273542 0.003672],[0.525748 0.274043 0.000719],[0.480833 0.193942 -0.000969],[0.533133 0.194053 -0.005131],[0.609803 0.695262 0.0],[0.620662 0.695637 -0.013696],[0.62873 0.702142 -0.022844],[0.62589 0.710508 -0.030501],[0.62411 0.719535 -0.03755],[0.626181 0.742703 -0.016917],[0.619272 0.755053 -0.028647],[0.610132 0.749124 -0.036986],[0.602437 0.738512 -0.041034],[0.612754 0.744791 -0.014927],[0.602221 0.756044 -0.027063],[0.59381 0.745897 -0.03427],[0.588962 0.72974 -0.037009],[0.601535 0.741883 -0.014139],[0.589552 0.748241 -0.026369],[0.582954 0.734126 -0.030645],[0.580357 0.71703 -0.030553],[0.592309 0.734844 -0.014229],[0.582071 0.741701 -0.024406],[0.578037 0.732153 -0.026855],[0.576959 0.718394 -0.026095],[0.42948 0.744503 -0.0],[0.452708 0.73899 -0.008266],[0.470147 0.754004 -0.011565],[0.482687 0.77512 -0.012805],[0.494151 0.789942 -0.013001],[0.458803 0.786205 -0.012202],[0.481225 0.81383 -0.016123],[0.495492 0.821896 -0.017436],[0.504595 0.8249 -0.017305],[0.450472 0.797826 -0.009329],[0.472843 0.827596 -0.013335],[0.489698 0.832017 -0.013647],[0.500714 0.82892 -0.012773],[0.446737 0.802167 -0.006775],[0.467821 0.828529 -0.010148],[0.483427 0.833241 -0.010459],[0.494033 0.831324 -0.009696],[0.447512 0.801942 -0.004706],[0.464947 0.822114 -0.00745],[0.478056 0.828036 -0.007821],[0.488056 0.828307 -0.007185]
6,0.2,[0.479761 0.214995 0.008416],[0.497046 0.215686 0.004437],[0.520326 0.215958 0.00294],[0.538568 0.215798 0.005166],[0.491188 0.274932 0.002475],[0.526396 0.275774 0.000553],[0.482401 0.193632 -0.000716],[0.534875 0.194606 -0.00349],[0.609997 0.692156 0.0],[0.619436 0.690763 -0.01524],[0.626829 0.696065 -0.025369],[0.623694 0.704619 -0.033502],[0.622093 0.714855 -0.040932],[0.624919 0.738381 -0.019452],[0.617681 0.75035 -0.032261],[0.608314 0.744751 -0.041657],[0.600018 0.734538 -0.046553],[0.612038 0.741091 -0.016923],[0.60089 0.751099 -0.030064],[0.592186 0.740905 -0.037731],[0.586945 0.725767 -0.040846],[0.601163 0.738006 -0.015652],[0.58843 0.741514 -0.028288],[0.581932 0.728018 -0.032337],[0.57933 0.712476 -0.032326],[0.59196 0.730403 -0.015439],[0.581336 0.733192 -0.026082],[0.57767 0.722573 -0.028615],[0.576921 0.709531 -0.027969],[0.42919 0.744076 -0.0],[0.452537 0.740127 -0.007297],[0.469885 0.755485 -0.009964],[0.482505 0.775968 -0.011028],[0.493898 0.79052 -0.011077],[0.459362 0.787759 -0.009005],[0.480271 0.814475 -0.013227],[0.494774 0.822272 -0.015346],[0.504709 0.82459 -0.015789],[0.451567 0.799138 -0.006742],[0.473614 0.827298 -0.010686],[0.490443 0.832662 -0.011834],[0.501879 0.83058 -0.011724],[0.448098 0.803763 -0.004969],[0.469124 0.828799 -0.008519],[0.48465 0.833865 -0.009474],[0.495637 0.832178 -0.009173],[0.448867 0.80409 -0.003683],[0.465979 0.823863 -0.006393],[0.478813 0.82971 -0.006957],[0.488841 0.82982 -0.006535]
7,0.23333,[0.480944 0.215368 0.008061],[0.498305 0.215944 0.004294],[0.521525 0.216178 0.003129],[0.539694 0.215887 0.005547],[0.492762 0.275797 0.002054],[0.527108 0.276478 0.00053],[0.48368 0.19449 -0.00109],[0.535838 0.195068 -0.003232],[0.607005 0.682998 0.0],[0.616524 0.681569 -0.013156],[0.623236 0.688183 -0.021624],[0.619082 0.698079 -0.028465],[0.617706 0.706925 -0.03481],[0.621377 0.727869 -0.016731],[0.616128 0.740545 -0.027207],[0.606707 0.73604 -0.034961],[0.598024 0.726767 -0.039146],[0.609003 0.731554 -0.01469],[0.59811 0.740533 -0.025388],[0.589654 0.730207 -0.031661],[0.585161 0.715303 -0.034218],[0.598665 0.728718 -0.013716],[0.585262 0.731625 -0.024476],[0.579242 0.717445 -0.027871],[0.577298 0.701526 -0.027784],[0.589736 0.721014 -0.013681],[0.579345 0.723307 -0.023193],[0.576597 0.711987 -0.02549],[0.576501 0.698409 -0.024942],[0.429121 0.744147 -0.0],[0.452729 0.741388 -0.006444],[0.470111 0.757433 -0.008868],[0.482605 0.77747 -0.009867],[0.494086 0.7916 -0.009953],[0.459024 0.788906 -0.008856],[0.480098 0.815648 -0.012879],[0.494279 0.823504 -0.014742],[0.504182 0.82612 -0.015019],[0.450654 0.799963 -0.006994],[0.473125 0.828136 -0.010978],[0.489838 0.833312 -0.012075],[0.501226 0.831275 -0.011909],[0.446762 0.804318 -0.005494],[0.468061 0.829842 -0.008947],[0.483566 0.835065 -0.009824],[0.494633 0.833819 -0.009505],[0.447526 0.804486 -0.004389],[0.464781 0.824649 -0.006923],[0.477629 0.830786 -0.007427],[0.487908 0.831371 -0.007014]
8,0.26667,[0.481818 0.215054 0.007717],[0.499418 0.2161 0.004095],[0.522829 0.216685 0.003239],[0.541108 0.216432 0.005901],[0.493836 0.27628 0.001791],[0.528049 0.277291 0.000722],[0.484882 0.193921 -0.001424],[0.537396 0.195332 -0.00298],[0.601902 0.678322 0.0],[0.611912 0.674693 -0.014339],[0.619462 0.67762 -0.02409],[0.615223 0.683637 -0.032085],[0.61144 0.689954 -0.039705],[0.620237 0.717094 -0.019468],[0.613179 0.727198 -0.030925],[0.603858 0.724379 -0.039381],[0.595151 0.718321 -0.044227],[0.607541 0.720387 -0.017588],[0.598612 0.73118 -0.029309],[0.591182 0.723773 -0.036045],[0.586478 0.712328 -0.038993],[0.596797 0.717101 -0.01674],[0.584668 0.717235 -0.029086],[0.580671 0.701724 -0.032823],[0.580445 0.687331 -0.032683],[0.587688 0.709016 -0.016794],[0.577865 0.709771 -0.027389],[0.575019 0.697192 -0.029441],[0.574921 0.684405 -0.028573],[0.430427 0.744829 -0.0],[0.45354 0.743172 -0.006099],[0.470559 0.758848 -0.008318],[0.482877 0.778511 -0.00937],[0.493618 0.793706 -0.009465],[0.460135 0.791814 -0.006375],[0.480108 0.817461 -0.010432],[0.493826 0.82526 -0.01286],[0.503409 0.827168 -0.013502],[0.452063 0.802364 -0.004739],[0.473733 0.828585 -0.008332],[0.489714 0.834474 -0.009964],[0.500716 0.83262 -0.010294],[0.448082 0.806523 -0.00365],[0.468781 0.83074 -0.007025],[0.483644 0.836312 -0.008337],[0.494489 0.83494 -0.008324],[0.448484 0.806554 -0.002968],[0.465452 0.826043 -0.0056],[0.477866 0.832117 -0.006273],[0.487874 0.832475 -0.005929]
9,0.3,[0.482693 0.214994 0.007699],[0.500464 0.21611 0.004241],[0.52406 0.216887 0.003778],[0.542356 0.216859 0.006764],[0.494998 0.276577 0.000818],[0.528362 0.277817 0.000277],[0.485848 0.193043 -0.001042],[0.53891 0.195057 -0.00185],[0.614913 0.666794 0.0],[0.620391 0.66873 -0.012375],[0.617855 0.677007 -0.019483],[0.610565 0.685176 -0.025035],[0.606675 0.692812 -0.03006],[0.601851 0.703731 -0.013978],[0.594522 0.709138 -0.0222],[0.589221 0.702109 -0.028105],[0.585209 0.691486 -0.031571],[0.592302 0.702039 -0.011336],[0.585135 0.705532 -0.020311],[0.584421 0.695032 -0.024833],[0.585369 0.68263 -0.026475],[0.585971 0.696862 -0.009781],[0.578862 0.694529 -0.01876],[0.582105 0.684779 -0.020807],[0.587221 0.675333 -0.020187],[0.582064 0.688967 -0.009114],[0.574105 0.687023 -0.016139],[0.575068 0.680133 -0.017323],[0.578295 0.672747 -0.016394],[0.430447 0.744671 -0.0],[0.454461 0.742357 -0.007007],[0.471327 0.759517 -0.009313],[0.483015 0.780471 -0.010069],[0.493815 0.795241 -0.009844],[0.459171 0.791732 -0.008341],[0.479501 0.8182 -0.012343],[0.49335 0.825847 -0.014407],[0.5032 0.828042 -0.014788],[0.450917 0.80165 -0.006057],[0.472643 0.829474 -0.010024],[0.489041 0.835135 -0.011358],[0.500512 0.833611 -0.011331],[0.447098 0.805275 -0.004257],[0.467809 0.830579 -0.007883],[0.483091 0.836292 -0.009082],[0.494252 0.835709 -0.008892],[0.447681 0.805133 -0.002898],[0.464451 0.825473 -0.005507],[0.476993 0.83174 -0.006098],[0.487095 0.832605 -0.005697]
